ranker,budget_ratio,frontier_page_ratio,draft_offset,num_rows,num_samples,candidate_recall_of_full_query_pages,restricted_page_recall_vs_full_query,attention_recovery_vs_full_query,attention_recovery_vs_oracle,full_query_recovery_vs_oracle,candidate_oracle_upper_bound_recovery,near_full_query_mass_rate,near_full_query_joint_rate
post_rope_endpoint_mean,0.1,0.02,5,16800,21,0.80623015966089,0.80623015966089,0.9401659396144387,0.9015883976413043,0.9627760756917166,0.9212433016431155,0.7740476190476191,0.6604761904761904
post_rope_endpoint_mean,0.1,0.02,6,16800,21,0.7974107152330024,0.7974107152330024,0.9370074955579527,0.8988924382672306,0.9623024345629233,0.9186139664959027,0.7598214285714285,0.645952380952381
post_rope_endpoint_mean,0.1,0.02,7,16800,21,0.7908829374841991,0.7908829374841991,0.936664679730734,0.8991410525995631,0.9635957309131382,0.9177240787175358,0.7538095238095238,0.6344047619047619
post_rope_endpoint_mean,0.1,0.02,8,16800,21,0.7844742073597653,0.7844742073597653,0.9349473341171056,0.8980683332272399,0.9639410834091207,0.9157766001339578,0.7457142857142857,0.6213690476190477
post_rope_endpoint_mean,0.1,0.05,1,16800,21,0.8573809529787728,0.8573809529787728,0.9517706202762121,0.9148092101240751,0.9640899411912597,0.9361557707771356,0.8338095238095238,0.7575595238095238
post_rope_endpoint_mean,0.1,0.05,2,16800,21,0.8379067467153072,0.8379067467153072,0.9474094789757356,0.9090575586376188,0.9632677930966982,0.9301061426883684,0.8075,0.7194642857142857
post_rope_endpoint_mean,0.1,0.05,3,16800,21,0.8246825404234586,0.8246825404234586,0.9452274444083362,0.905416588941582,0.9617649870703824,0.9271772719621378,0.791547619047619,0.6955357142857143
post_rope_endpoint_mean,0.1,0.05,4,16800,21,0.8165376991938268,0.8165376991938268,0.9443274755428442,0.9048319285309093,0.9620474899605929,0.9253199591042561,0.7846428571428572,0.6801190476190476
post_rope_endpoint_mean,0.1,0.05,5,16800,21,0.8114682547286862,0.8114682547286862,0.9422456956153217,0.903601941032587,0.9627760756917166,0.9237626448933947,0.7821428571428571,0.6714285714285714
post_rope_endpoint_mean,0.1,0.05,6,16800,21,0.8024900801533035,0.8024900801533035,0.9389274609445026,0.9007580117668811,0.9623024345629233,0.9209006594730167,0.7688690476190476,0.6563690476190476
post_rope_endpoint_mean,0.1,0.05,7,16800,21,0.7960615087211842,0.7960615087211842,0.9383981144634959,0.9008602384607661,0.9635957309131382,0.9198847143436973,0.7626190476190476,0.6460119047619047
post_rope_endpoint_mean,0.1,0.05,8,16800,21,0.7900297627651266,0.7900297627651266,0.9368246546367023,0.8998945197729369,0.9639410834091207,0.9180114982745404,0.7544047619047619,0.6319642857142858
pre_rope_future_corrected_endpoint_mean,0.1,0.01,1,16800,21,0.8115674612192171,0.8115674612192171,0.917936004160792,0.8815305039395882,0.9640899411912597,0.9001927755209685,0.7622619047619048,0.677202380952381
pre_rope_future_corrected_endpoint_mean,0.1,0.01,2,16800,21,0.8115575406203668,0.8115575406203668,0.9262236785148183,0.8887958155676899,0.9632677930966982,0.9080329822528538,0.7638095238095238,0.6749404761904761
pre_rope_future_corrected_endpoint_mean,0.1,0.01,3,16800,21,0.8055654771413122,0.8055654771413122,0.9311958622971491,0.8920117167380122,0.9617649870703824,0.9119187252503574,0.7580357142857143,0.6608333333333334
